timestamp,latency,endpoint,load
2025-02-25 15:36:00.560029+00:00,0.94266,/reading_session_update,1
2025-02-25 15:36:01.481903+00:00,0.915861,/reading_session_update,1
2025-02-25 15:36:02.435032+00:00,0.956964,/reading_session_update,1
2025-02-25 15:36:03.435029+00:00,0.990689,/reading_session_update,1
2025-02-25 15:36:04.341279+00:00,0.913593,/reading_session_update,1
2025-02-25 15:36:05.247543+00:00,0.903431,/reading_session_update,1
2025-02-25 15:36:06.138167+00:00,0.885011,/reading_session_update,1
2025-02-25 15:36:07.075668+00:00,0.921591,/reading_session_update,1
2025-02-25 15:36:07.950654+00:00,0.880396,/reading_session_update,1
2025-02-25 15:36:08.856903+00:00,0.892966,/reading_session_update,1
2025-02-25 15:36:09.731903+00:00,0.878682,/reading_session_update,1
2025-02-25 15:36:10.606901+00:00,0.874014,/reading_session_update,1
2025-02-25 15:36:11.481903+00:00,0.86212,/reading_session_update,1
2025-02-25 15:36:12.356901+00:00,0.88377,/reading_session_update,1
2025-02-25 15:36:13.247544+00:00,0.874287,/reading_session_update,1
2025-02-25 15:36:14.106902+00:00,0.860969,/reading_session_update,1
2025-02-25 15:36:14.981922+00:00,0.864707,/reading_session_update,1
2025-02-25 15:36:15.856918+00:00,0.880818,/reading_session_update,1
2025-02-25 15:36:16.747543+00:00,0.878792,/reading_session_update,1
2025-02-25 15:36:17.622529+00:00,0.882998,/reading_session_update,1
2025-02-25 15:36:18.513152+00:00,0.883041,/reading_session_update,1
2025-02-25 15:36:19.388168+00:00,0.871562,/reading_session_update,1
2025-02-25 15:36:20.263167+00:00,0.861656,/reading_session_update,1
2025-02-25 15:36:21.122528+00:00,0.866115,/reading_session_update,1
2025-02-25 15:36:21.981904+00:00,0.852147,/reading_session_update,1
2025-02-25 15:36:22.856903+00:00,0.876378,/reading_session_update,1
2025-02-25 15:36:23.731902+00:00,0.870736,/reading_session_update,1
2025-02-25 15:36:24.606902+00:00,0.86128,/reading_session_update,1
2025-02-25 15:36:25.481918+00:00,0.876355,/reading_session_update,1
2025-02-25 15:36:26.341294+00:00,0.859375,/reading_session_update,1
2025-02-25 15:36:27.231903+00:00,0.877947,/reading_session_update,1
2025-02-25 15:36:28.106964+00:00,0.871935,/reading_session_update,1
2025-02-25 15:36:28.950714+00:00,0.837142,/reading_session_update,1
2025-02-25 15:36:29.810089+00:00,0.864441,/reading_session_update,1
2025-02-25 15:36:30.655822+00:00,0.840627,/reading_session_update,1
2025-02-25 15:36:31.530822+00:00,0.862173,/reading_session_update,1
2025-02-25 15:36:32.390196+00:00,0.861029,/reading_session_update,1
