user_time,timestamp,test_type,load
41.281496,2024-10-31 16:47:37.913762+00:00,user_profile_2,10
42.346876,2024-10-31 16:47:38.978181+00:00,user_profile_2,10
45.912788,2024-10-31 16:47:42.543049+00:00,user_profile_2,10
45.968401,2024-10-31 16:47:42.597662+00:00,user_profile_2,10
46.025955,2024-10-31 16:47:42.654213+00:00,user_profile_2,10
46.05015,2024-10-31 16:47:42.681455+00:00,user_profile_2,10
46.056109,2024-10-31 16:47:42.687414+00:00,user_profile_2,10
46.071558,2024-10-31 16:47:42.702863+00:00,user_profile_2,10
46.110289,2024-10-31 16:47:42.740550+00:00,user_profile_2,10
46.171989,2024-10-31 16:47:42.802250+00:00,user_profile_2,10
