timestamp,test_type,load,average_latency,median_latency,throughput
2024-10-24 15:46:46.089026,random,1,0.42249,0.42249,1.0
2024-10-24 15:46:46.896017,random,1,0.793751,0.793751,1.0
2024-10-24 15:46:47.330256,random,1,0.437352,0.437352,1.0
2024-10-24 15:46:47.828354,random,1,0.483483,0.483483,1.0
2024-10-24 15:46:48.230436,random,1,0.400556,0.400556,1.0
