timestamp,user,load,average_time,median_time
2024-10-12 09:25:28.707017+00:00,/upload_user_activity_data,1,0:00:01.111761,0:00:01.111761
2024-10-12 10:04:40.696042+00:00,0,5,0:00:01.621083,0:00:01.604717
2024-10-12 10:04:59.732280+00:00,0,1,0:00:00.979738,0:00:00.979738
2024-10-12 10:05:06.875954+00:00,0,2,0:00:01.052829,0:00:01.077990
2024-10-12 10:05:12.335394+00:00,0,5,0:00:01.302006,0:00:01.289276
2024-10-12 10:05:17.746032+00:00,0,10,0:00:02.506339,0:00:02.521690
2024-10-12 10:05:24.695427+00:00,0,100,0:00:26.070030,0:00:26.497237
2024-10-12 08:49:32.365360+00:00,1,1,0:00:00.115056,0:00:00.115056
2024-10-12 08:49:38.951547+00:00,0,1,0:00:00.101961,0:00:00.101961
2024-10-12 10:50:28.554595+00:00,0,1,0:00:00.140886,0:00:00.140886
2024-10-12 11:14:07.482489+00:00,0,10,0:00:02.539424,0:00:02.552225
2024-10-12 11:15:28.173620+00:00,0,5,0:00:01.341996,0:00:01.125742
2024-10-12 11:16:42.965299+00:00,0,10,0:00:02.661785,0:00:02.688003
2024-10-12 11:17:04.785824+00:00,0,100,0:00:25.656641,0:00:25.578170
2024-10-12 13:11:23.261981+00:00,0,5,0:00:01.381919,0:00:01.347910
2024-10-12 13:12:21.643960+00:00,0,25,0:00:06.605678,0:00:06.535307
2024-10-12 13:18:48.047545+00:00,0,25,0:00:06.593219,0:00:06.625768
