timestamp,load,average_time,median_time,throughput
2024-10-19 16:38:11.605069+00:00,15,2.2268230000000004,2.17567,9.266575277642039
2024-10-19 16:38:14.576535+00:00,15,1.9870924,2.016696,11.230117077713908
2024-10-19 16:38:17.172440+00:00,15,1.9061248,1.847345,10.992610767042395
2024-10-19 16:38:19.797453+00:00,15,1.69061,1.777203,11.478728003887463
2024-10-19 16:38:22.332406+00:00,15,1.8983008000000001,1.82769,11.391978224613355
2024-10-19 16:38:30.938046+00:00,20,2.32445035,2.38996,15.809189407526912
2024-10-19 16:38:33.937755+00:00,20,2.40585925,2.310865,11.568624502115323
2024-10-19 16:38:37.374126+00:00,20,2.8545379,2.835095,10.41870699678687
2024-10-19 16:38:41.142652+00:00,20,2.28808715,2.407716,16.530168797818682
2024-10-19 16:38:44.072812+00:00,20,2.2113659500000002,2.172335,16.465431649523406
2024-10-19 16:38:52.247964+00:00,25,2.6165122800000002,2.595076,17.727328165462627
2024-10-19 16:38:55.608578+00:00,25,2.8860806400000003,2.879828,15.839616909361276
2024-10-19 16:38:59.305168+00:00,25,3.64294848,3.702119,12.942497518923226
2024-10-19 16:39:03.674661+00:00,25,2.52228264,2.637693,23.496505599687215
2024-10-19 16:39:06.677677+00:00,25,3.0088091200000004,2.946807,12.017197089723277
2024-10-19 16:39:18.558796+00:00,30,3.2797742,3.17603,12.795119429644755
2024-10-19 16:39:23.029388+00:00,30,3.508602433333333,3.505672,13.310309455821308
2024-10-19 16:39:27.539338+00:00,30,3.4412321666666665,3.583198,11.105233563421434
2024-10-19 16:39:32.178540+00:00,30,3.5199634,3.549239,13.764587021095606
2024-10-19 16:39:36.912765+00:00,30,3.7863392333333334,3.939264,13.157733150645518
2024-10-19 16:39:51.563938+00:00,40,4.438205675000001,4.532255,13.917676249102746
2024-10-19 16:39:57.489891+00:00,40,6.695345949999999,7.515317,6.514547636326681
2024-10-19 16:40:06.179603+00:00,40,4.97550475,5.0778,11.325175809197969
2024-10-19 16:40:12.812466+00:00,40,4.386353175,4.330126,12.861930710849972
2024-10-19 16:40:18.828321+00:00,40,4.7616294,4.788464,11.773775152095098
2024-10-19 16:40:30.782053+00:00,50,5.2998535,5.431162,14.324381931568416
2024-10-19 16:40:37.753304+00:00,50,5.61092846,5.762413,16.105782781307628
2024-10-19 16:40:44.768592+00:00,50,5.386051159999999,5.411485,14.680317012637698
2024-10-19 16:40:51.871778+00:00,50,5.9587847599999995,6.043933,11.854909189024632
2024-10-19 16:40:59.474559+00:00,50,5.89922732,6.04429,9.549188538605554
2024-10-19 16:41:14.216326+00:00,75,8.023509386666666,8.050679,11.753608632100923
2024-10-19 16:41:25.132884+00:00,75,7.89206344,7.58274,12.363496693588868
2024-10-19 16:41:35.974037+00:00,75,7.8211138,7.838163,12.808671914920362
2024-10-19 16:41:46.438277+00:00,75,7.4169753599999995,7.486119,17.093533994708753
2024-10-19 16:41:56.069597+00:00,75,8.949863239999999,9.084849,11.804717857799423
2024-10-19 16:42:16.393112+00:00,100,10.45961104,10.777073,13.833305897276636
2024-10-19 16:42:29.961907+00:00,100,10.13470903,10.353848,17.358642929069635
2024-10-19 16:42:42.818768+00:00,100,10.503016789999998,10.308892,13.312416863956685
2024-10-19 16:42:56.994279+00:00,100,10.90721929,10.871061,12.238264819651421
2024-10-19 16:43:11.728684+00:00,100,10.38992918,10.168265,12.848986504067026
